"Ano","ID.IBGE","Localidade","ice_emprego","Empregos","Massa.Salarial","Renda.Mensal.Média","Distância.média","Ganho.de.oportunidade.médio","rank"
2007,32,"Espírito Santo",0.317,"752 Mil","R$ 855 Milhões","R$ 1,14 Mil","0,741","0,201",9
2007,33,"Rio de Janeiro",2.267,"3,67 Milhões","R$ 5,33 Bilhões","R$ 1,46 Mil","0,663","-0,065",2
2007,35,"São Paulo",2.687,"11,1 Milhões","R$ 16,9 Bilhões","R$ 1,52 Mil","0,36","-0,28",1
2007,41,"Paraná",0.914,"2,38 Milhões","R$ 2,79 Bilhões","R$ 1,17 Mil","0,603","0,16",6
2007,42,"Santa Catarina",1.058,"1,7 Milhão","R$ 1,95 Bilhão","R$ 1,15 Mil","0,618","0,124",4
2007,43,"Rio Grande do Sul",1.116,"2,43 Milhões","R$ 3,1 Bilhões","R$ 1,28 Mil","0,638","0,105",3
2007,50,"Mato Grosso do Sul",-0.593,"472 Mil","R$ 544 Milhões","R$ 1,15 Mil","0,832","0,225",20
2007,51,"Mato Grosso",-0.545,"572 Mil","R$ 605 Milhões","R$ 1,06 Mil","0,79","0,258",17
2007,52,"Goiás",-0.441,"1,06 Milhão","R$ 1,13 Bilhão","R$ 1,07 Mil","0,766","0,267",16
2007,53,"Distrito Federal",0.34,"945 Mil","R$ 2,65 Bilhões","R$ 2,8 Mil","0,94","0,091",8
2008,11,"Rondônia",-1.006,"263 Mil","R$ 332 Milhões","R$ 1,26 Mil","0,868","0,211",25
2008,12,"Acre",-0.95,"98,7 Mil","R$ 143 Milhões","R$ 1,45 Mil","0,931","0,138",24
2008,13,"Amazonas",1.246,"510 Mil","R$ 769 Milhões","R$ 1,51 Mil","0,803","0,065",3
2008,14,"Roraima",-0.653,"51,4 Mil","R$ 76,4 Milhões","R$ 1,49 Mil","0,901","0,16",19
2008,15,"Pará",-0.761,"846 Mil","R$ 989 Milhões","R$ 1,17 Mil","0,816","0,247",22
2008,16,"Amapá",-1.02,"98,2 Mil","R$ 173 Milhões","R$ 1,76 Mil","0,936","0,134",26
2008,17,"Tocantins",-1.447,"213 Mil","R$ 252 Milhões","R$ 1,18 Mil","0,911","0,181",27
2008,21,"Maranhão",-0.73,"540 Mil","R$ 568 Milhões","R$ 1,05 Mil","0,83","0,224",20
2008,22,"Piauí",-0.864,"336 Mil","R$ 357 Milhões","R$ 1,06 Mil","0,868","0,203",23
2008,23,"Ceará",0.036,"1,13 Milhão","R$ 1,14 Bilhão","R$ 1,01 Mil","0,792","0,193",11
2008,24,"Rio Grande do Norte",-0.132,"515 Mil","R$ 579 Milhões","R$ 1,12 Mil","0,846","0,175",13
2008,25,"Paraíba",-0.402,"513 Mil","R$ 497 Milhões","R$ 968","0,857","0,181",15
2008,26,"Pernambuco",0.481,"1,31 Milhão","R$ 1,45 Bilhão","R$ 1,11 Mil","0,751","0,164",7
2008,27,"Alagoas",-0.415,"425 Mil","R$ 435 Milhões","R$ 1,02 Mil","0,866","0,177",16
2008,28,"Sergipe",-0.223,"319 Mil","R$ 403 Milhões","R$ 1,26 Mil","0,862","0,169",14
2008,29,"Bahia",-0.095,"1,86 Milhão","R$ 2,15 Bilhões","R$ 1,16 Mil","0,767","0,219",12
2008,31,"Minas Gerais",0.094,"4,18 Milhões","R$ 4,94 Bilhões","R$ 1,18 Mil","0,688","0,25",10
2008,32,"Espírito Santo",0.294,"776 Mil","R$ 984 Milhões","R$ 1,27 Mil","0,746","0,196",9
2008,33,"Rio de Janeiro",2.054,"3,71 Milhões","R$ 6,11 Bilhões","R$ 1,64 Mil","0,679","-0,027",2
2008,35,"São Paulo",2.691,"11,7 Milhões","R$ 19,5 Bilhões","R$ 1,66 Mil","0,361","-0,277",1
2008,41,"Paraná",1.049,"2,5 Milhões","R$ 3,27 Bilhões","R$ 1,31 Mil","0,61","0,129",6
2008,42,"Santa Catarina",1.126,"1,78 Milhão","R$ 2,23 Bilhões","R$ 1,25 Mil","0,604","0,112",4
2008,43,"Rio Grande do Sul",1.126,"2,52 Milhões","R$ 3,49 Bilhões","R$ 1,38 Mil","0,632","0,104",5
2008,50,"Mato Grosso do Sul",-0.613,"497 Mil","R$ 645 Milhões","R$ 1,3 Mil","0,827","0,228",18
2008,51,"Mato Grosso",-0.742,"591 Mil","R$ 711 Milhões","R$ 1,2 Mil","0,796","0,268",21
2008,52,"Goiás",-0.487,"1,14 Milhão","R$ 1,31 Bilhão","R$ 1,16 Mil","0,769","0,27",17
2008,53,"Distrito Federal",0.343,"1 Milhão","R$ 3,17 Bilhões","R$ 3,17 Mil","0,937","0,09",8
2009,11,"Rondônia",-0.851,"297 Mil","R$ 416 Milhões","R$ 1,4 Mil","0,859","0,204",23
2009,12,"Acre",-1.118,"106 Mil","R$ 160 Milhões","R$ 1,51 Mil","0,921","0,15",25
2009,13,"Amazonas",0.981,"510 Mil","R$ 784 Milhões","R$ 1,54 Mil","0,785","0,083",6
2009,14,"Roraima",-1.173,"73,8 Mil","R$ 127 Milhões","R$ 1,72 Mil","0,928","0,145",26
